,open,high,low,close,volume
2023-01-11,231.29,235.95,231.11,235.77,28669331.0
2023-01-10,227.755,231.31,227.33,228.85,27033881.0
2023-01-09,226.45,231.2366,226.41,227.12,27369784.0
2023-01-06,223.0,225.7601,219.35,224.93,43613574.0
2023-01-05,227.2,227.55,221.7602,222.31,39585623.0
2023-01-04,232.275,232.87,225.96,229.1,50623394.0
2023-01-03,243.08,245.75,237.4,239.58,25740036.0
2022-12-30,238.21,239.96,236.66,239.82,21938472.0
2022-12-29,235.65,241.92,235.65,241.01,19770693.0
2022-12-28,236.89,239.72,234.17,234.53,17457104.0
2022-12-27,238.7,238.93,235.83,236.96,16688648.0
2022-12-23,236.11,238.87,233.9428,238.73,21206982.0
2022-12-22,241.255,241.99,233.87,238.19,28651664.0
2022-12-21,241.69,245.615,240.11,244.43,23690607.0
2022-12-20,239.4,242.91,238.42,241.8,25150802.0
2022-12-19,244.86,245.21,238.71,240.45,29696436.0
2022-12-16,248.55,249.84,243.51,244.69,86101994.0
2022-12-15,253.72,254.2,247.34,249.01,35568093.0
2022-12-14,257.13,262.588,254.31,257.22,35410933.0
2022-12-13,261.69,263.915,253.07,256.92,42196884.0
2022-12-12,247.445,252.54,247.17,252.51,30665069.0
2022-12-09,244.695,248.31,244.16,245.42,20609743.0
2022-12-08,244.84,248.74,243.06,247.4,22611757.0
2022-12-07,244.83,246.16,242.205,244.37,20481522.0
2022-12-06,250.82,251.86,243.78,245.12,22463727.0
2022-12-05,252.01,253.819,248.06,250.2,23435294.0
2022-12-02,249.82,256.06,249.69,255.02,21528520.0
2022-12-01,253.87,256.12,250.9156,254.69,26041524.0
2022-11-30,240.57,255.33,239.86,255.14,47594239.0
2022-11-29,241.4,242.79,238.21,240.33,17956313.0
2022-11-28,246.08,246.65,240.8,241.76,24810271.0
2022-11-25,247.31,248.7,246.73,247.49,9200772.0
2022-11-23,245.105,248.28,244.27,247.58,19508462.0
2022-11-22,243.59,245.31,240.71,245.03,19665699.0
2022-11-21,241.43,244.67,241.19,242.05,26394700.0
2022-11-18,243.51,243.74,239.03,241.22,27613523.0
2022-11-17,237.78,243.25,237.63,241.68,23123544.0
2022-11-16,242.79,243.8,240.42,241.73,24093272.0
2022-11-15,245.66,247.0,240.03,241.97,31390117.0
2022-11-14,241.985,243.91,239.21,241.55,31123340.0
2022-11-11,242.99,247.99,241.93,247.11,34620246.0
2022-11-10,235.43,243.33,235.0,242.98,46268021.0
2022-11-09,227.37,228.6327,224.33,224.51,27852910.0
2022-11-08,228.7,231.65,225.84,228.87,28192548.0
2022-11-07,221.99,228.41,221.28,227.87,33497979.0
2022-11-04,217.55,221.59,213.431,221.39,36789063.0
2022-11-03,220.09,220.41,213.98,214.25,36633922.0
2022-11-02,229.46,231.3,220.04,220.1,38407008.0
2022-11-01,234.6,235.74,227.325,228.17,30592271.0
2022-10-31,233.76,234.92,231.15,232.13,28357265.0
2022-10-28,226.24,236.6,226.05,235.87,40647724.0
2022-10-27,231.04,233.69,225.78,226.75,40424645.0
2022-10-26,231.17,238.3,230.06,231.32,82684846.0
