,open,high,low,close,volume
2022-11-25,106.56,107.5,106.56,107.5,3163683.0
2022-11-23,106.75,107.3,106.3003,106.82,5750005.0
2022-11-22,106.125,107.1,106.05,106.9,8296027.0
2022-11-21,105.0,105.87,104.23,105.61,8899302.0
2022-11-18,102.63,104.6,102.63,104.23,11626266.0
2022-11-17,100.41,102.35,100.27,102.31,8501262.0
2022-11-16,99.58,100.8,99.49,99.93,8757702.0
2022-11-15,100.4,100.74,98.71,99.6,7965873.0
2022-11-14,98.7,101.69,98.7,100.35,8958225.0
2022-11-11,100.53,100.81,97.33,97.96,13342839.0
2022-11-10,102.7,102.81,100.6,101.89,9555950.0
2022-11-09,101.3,103.76,101.28,101.59,10602858.0
2022-11-08,100.07,101.97,99.53,101.5,8503869.0
2022-11-07,98.5,100.36,97.67,100.07,8644727.0
2022-11-04,99.0,99.375,97.96,99.2,8877566.0
2022-11-03,99.0,99.24,98.0,98.75,9912669.0
2022-11-02,99.65,101.03,98.98,99.4,9506519.0
2022-11-01,100.65,101.07,98.945,99.76,11079286.0
2022-10-31,99.95,101.355,99.31,101.2,11043805.0
2022-10-28,100.24,101.14,98.55,100.77,11227976.0
2022-10-27,99.84,101.5,99.5,99.74,12218409.0
2022-10-26,98.29,99.275,98.0,98.41,10376405.0
2022-10-25,96.86,98.29,96.35,97.71,8747864.0
2022-10-24,96.45,98.42,96.27,97.37,11414862.0
2022-10-21,92.84,95.96,92.64,95.67,10297179.0
2022-10-20,93.2,93.4,92.36,92.94,7626055.0
2022-10-19,94.91,94.91,93.1,93.26,8546296.0
2022-10-18,94.42,95.32,94.02,94.61,9530386.0
2022-10-17,92.84,94.37,92.45,94.12,12139895.0
2022-10-14,92.27,93.36,91.74,92.18,9847759.0
2022-10-13,89.5,92.72,89.27,92.49,9382759.0
2022-10-12,91.25,91.72,90.365,90.42,8522211.0
2022-10-11,90.43,91.98,90.2,91.05,9743682.0
2022-10-10,89.93,91.5857,89.71,90.48,14484995.0
2022-10-07,87.88,88.3,87.115,87.6,8837393.0
2022-10-06,87.76,88.01,87.23,87.44,8055542.0
2022-10-05,88.58,88.78,88.02,88.39,6065661.0
2022-10-04,87.54,88.65,87.0,88.39,7372977.0
2022-10-03,86.72,87.9,86.02,87.55,9187014.0
2022-09-30,87.25,87.62,86.1,86.12,9035613.0
2022-09-29,87.0,87.42,86.23,86.64,6601358.0
2022-09-28,86.99,87.25,86.2,86.78,6840088.0
2022-09-27,86.82,87.63,85.67,85.84,6532113.0
2022-09-26,86.12,86.71,85.29,86.18,8841196.0
2022-09-23,87.4,88.01,86.09,86.78,9038536.0
2022-09-22,84.55,88.15,84.55,87.51,11444909.0
2022-09-21,86.25,86.495,84.52,84.53,7190830.0
2022-09-20,86.07,86.45,85.59,86.0,5454784.0
2022-09-19,86.85,86.94,85.64,86.64,7748617.0
2022-09-16,86.6,87.8702,86.4,87.72,14842456.0
2022-09-15,87.15,87.43,86.2,86.75,8006837.0
2022-09-14,87.0,87.64,86.38,86.95,9418733.0
2022-09-13,87.32,87.605,86.11,86.28,7650025.0
2022-09-12,88.13,89.165,87.82,88.16,6351490.0
2022-09-09,87.59,88.17,87.27,87.34,7481322.0
2022-09-08,86.5,87.45,86.13,87.42,8109379.0
2022-09-07,86.56,87.0,85.07,86.87,6121660.0
2022-09-06,86.58,87.27,86.16,86.42,8232441.0
2022-09-02,87.24,87.775,85.875,86.23,6997519.0
2022-09-01,85.64,87.46,85.36,87.15,7528627.0
2022-08-31,87.04,87.13,85.16,85.36,11601967.0
2022-08-30,87.47,87.5651,86.58,86.88,6753997.0
2022-08-29,88.83,89.0,87.56,87.59,7844729.0
2022-08-26,90.28,90.74,89.09,89.26,5695502.0
2022-08-25,90.505,90.505,89.07,90.27,5884260.0
2022-08-24,90.2,90.32,89.5431,90.01,5553318.0
2022-08-23,90.88,90.99,89.715,90.2,5209038.0
2022-08-22,91.805,92.22,91.01,91.16,6652090.0
2022-08-19,91.55,93.02,91.53,92.08,8828912.0
2022-08-18,91.5,91.835,90.53,91.4,6111608.0
2022-08-17,90.34,91.89,90.3,91.04,6485998.0
2022-08-16,89.96,90.9,89.87,90.59,5661371.0
2022-08-15,90.825,90.84,89.89,90.6,6339835.0
2022-08-12,88.99,91.03,88.95,91.02,12317663.0
2022-08-11,87.81,89.8165,87.36,88.93,7396827.0
2022-08-10,90.03,90.13,88.185,89.19,8140239.0
2022-08-09,88.75,90.2434,86.81,89.52,13215464.0
2022-08-08,87.3,88.7798,86.92,88.49,8151171.0
2022-08-05,86.53,87.53,86.02,87.41,8801196.0
2022-08-04,87.81,87.89,86.64,86.82,7993784.0
2022-08-03,87.25,88.015,86.76,87.62,8187599.0
2022-08-02,89.06,89.59,87.55,87.61,7442984.0
2022-08-01,89.34,90.015,88.35,88.53,7343370.0
2022-07-29,90.075,91.08,88.28,89.34,14938566.0
2022-07-28,91.04,91.13,87.42,89.94,13909816.0
2022-07-27,90.5,91.37,90.01,91.23,6966277.0
2022-07-26,91.4,91.95,90.6,91.29,6414143.0
2022-07-25,90.2,90.729,89.75,90.53,6364514.0
2022-07-22,90.11,90.45,89.455,90.11,6354709.0
2022-07-21,89.15,90.41,88.91,90.14,8197208.0
2022-07-20,92.36,92.425,89.22,89.65,11844022.0
2022-07-19,93.15,93.39,92.12,92.36,8233636.0
2022-07-18,94.9,95.1,91.92,92.34,8653654.0
2022-07-15,94.85,95.35,94.37,94.96,9731879.0
2022-07-14,92.55,94.055,92.06,93.88,6270976.0
2022-07-13,93.59,94.3599,93.02,93.77,6415637.0
2022-07-12,93.78,94.24,93.14,93.6,7826543.0
2022-07-11,92.88,94.78,92.83,94.3,9508992.0
2022-07-08,92.91,93.815,92.41,92.78,7161691.0
2022-07-07,92.94,93.95,92.55,93.01,8140093.0
2022-07-06,93.31,94.5099,92.7,93.13,10455342.0
2022-07-05,92.44,92.95,90.53,92.64,9576118.0
2022-07-01,91.3,92.49,90.385,92.42,11413770.0
2022-06-30,91.65,92.9,90.91,91.17,18551430.0
2022-06-29,92.31,92.98,91.8875,92.51,8657054.0
2022-06-28,94.11,94.33,91.47,91.89,13524022.0
2022-06-27,93.2,95.72,93.05,94.41,11949014.0
2022-06-24,93.25,93.79,91.7,93.13,25248424.0
2022-06-23,90.0,92.15,89.56,92.0,14718409.0
2022-06-22,88.04,90.34,88.03,89.16,11937858.0
2022-06-21,86.05,88.36,85.27,88.03,11778626.0
2022-06-17,84.64,85.76,83.39,84.62,32989061.0
2022-06-16,83.77,85.19,83.05,84.89,12925195.0
2022-06-15,84.56,85.365,83.75,84.63,11357089.0
2022-06-14,84.77,85.04,83.87,84.5,11226985.0
2022-06-13,85.71,86.51,84.63,85.0,12016129.0
2022-06-10,87.17,88.04,86.71,87.18,8862136.0
2022-06-09,89.25,89.785,87.92,88.0,7381312.0
2022-06-08,90.58,90.645,89.265,89.48,10266158.0
2022-06-07,90.15,90.82,89.58,90.48,10243289.0
2022-06-06,90.17,90.655,89.69,89.84,8336893.0
2022-06-03,89.74,90.68,89.68,89.91,7051596.0
2022-06-02,91.13,91.14,88.74,90.0,11066225.0
2022-06-01,91.67,91.93,90.04,91.14,10492642.0
2022-05-31,91.91,92.62,90.87,92.03,22860770.0
2022-05-27,92.28,93.11,91.75,93.08,9801988.0
2022-05-26,94.24,94.25,91.0,92.31,17249480.0
2022-05-25,94.36,94.755,93.14,93.75,11177679.0
2022-05-24,94.25,94.8,93.565,94.64,9020989.0
2022-05-23,93.59,94.92,93.4,93.83,9067012.0
2022-05-20,92.45,94.08,92.45,93.55,11757111.0
2022-05-19,91.25,92.61,90.88,92.09,11121552.0
