,open,high,low,close,volume
2023-05-23,124.93,125.42,123.05,123.29,24477945.0
2023-05-22,123.51,127.05,123.45,125.87,29760236.0
2023-05-19,124.2,126.479,122.72,123.25,30268864.0
2023-05-18,121.56,123.9,121.49,123.52,27014468.0
2023-05-17,120.18,122.28,119.46,121.48,26659564.0
2023-05-16,116.83,121.2,116.83,120.09,32370113.0
2023-05-15,116.49,118.795,116.48,116.96,22107865.0
2023-05-12,117.0,118.26,116.55,117.92,31293778.0
2023-05-11,115.86,118.44,114.9301,116.9,57115075.0
2023-05-10,108.55,113.51,108.48,112.28,47533463.0
2023-05-09,108.78,110.595,107.725,107.94,24782442.0
2023-05-08,105.795,108.42,105.79,108.24,17266021.0
2023-05-05,105.32,106.44,104.7386,106.215,20710627.0
2023-05-04,106.16,106.3,104.7,105.21,19780637.0
2023-05-03,106.22,108.13,105.62,106.12,17116333.0
2023-05-02,107.66,107.73,104.5,105.98,20343116.0
2023-05-01,107.72,108.68,107.5,107.71,20926259.0
2023-04-28,107.8,108.29,106.04,108.22,23957872.0
2023-04-27,105.23,109.15,104.42,108.37,38235220.0
2023-04-26,105.56,107.02,103.27,104.45,36630202.0
2023-04-25,106.61,107.44,104.56,104.61,31408119.0
2023-04-24,106.05,107.32,105.36,106.78,21410908.0
2023-04-21,106.09,106.64,105.485,105.91,22379018.0
2023-04-20,104.65,106.8875,104.64,105.9,22515331.0
2023-04-19,104.215,105.725,103.8,105.02,16732016.0
2023-04-18,107.0,107.05,104.78,105.12,17641369.0
2023-04-17,105.43,106.71,105.32,106.42,28978949.0
2023-04-14,107.69,109.58,107.59,109.46,20758686.0
2023-04-13,106.47,108.265,106.44,108.19,21650747.0
2023-04-12,107.39,107.5874,104.97,105.22,22761569.0
2023-04-11,106.92,107.22,105.28,106.12,18721278.0
2023-04-10,107.39,107.97,105.6,106.95,19741517.0
2023-04-06,105.77,109.63,104.815,108.9,34684150.0
2023-04-05,106.12,106.54,104.1021,104.95,21864200.0
2023-04-04,104.84,106.1,104.6,105.12,20377231.0
2023-04-03,102.67,104.95,102.38,104.91,20719861.0
2023-03-31,101.71,104.19,101.44,104.0,28107953.0
2023-03-30,101.44,101.61,100.29,101.32,25009829.0
2023-03-29,102.72,102.82,101.03,101.9,26148300.0
2023-03-28,103.0,103.0,100.28,101.36,24913480.0
2023-03-27,105.32,105.4,102.63,103.06,25393417.0
2023-03-24,105.74,106.16,104.74,106.06,25245010.0
2023-03-23,105.89,107.1009,105.41,106.26,31385817.0
2023-03-22,105.14,107.51,104.21,104.22,32336877.0
2023-03-21,101.98,105.96,101.86,105.84,33122800.0
2023-03-20,101.06,102.58,100.79,101.93,26033916.0
2023-03-17,100.84,103.49,100.75,102.46,76140310.0
2023-03-16,96.57,101.97,95.87,101.07,54588200.0
2023-03-15,93.54,97.25,93.04,96.55,38367334.0
