,open,high,low,close,volume
2023-12-29,169.34,170.065,169.17,169.84,3291629.0
2023-12-28,169.4,169.54,168.7,169.39,2911277.0
2023-12-27,168.9,169.49,168.36,169.4,3497213.0
2023-12-26,167.65,169.42,167.25,168.86,2779405.0
2023-12-22,167.36,168.17,166.86,167.68,3030355.0
2023-12-21,166.5,167.1,165.39,166.97,4374203.0
2023-12-20,166.51,167.465,165.67,165.69,5157779.0
2023-12-19,167.935,168.83,167.31,167.95,4813467.0
2023-12-18,168.06,170.25,167.41,168.91,5439517.0
2023-12-15,167.45,168.51,166.45,167.0,17734645.0
2023-12-14,171.65,171.97,167.94,168.25,7119267.0
2023-12-13,168.54,172.05,168.12,172.01,6082063.0
2023-12-12,169.28,169.28,167.71,168.47,4515820.0
2023-12-11,167.44,168.13,166.46,167.82,6912556.0
2023-12-08,167.04,167.12,165.27,165.68,5115158.0
2023-12-07,168.0,168.3043,166.7,167.46,4934842.0
2023-12-06,167.98,168.32,166.73,167.51,4714371.0
2023-12-05,169.15,169.5731,167.71,167.94,4553781.0
2023-12-04,168.4,169.92,168.19,169.14,5323333.0
2023-12-01,168.37,168.85,167.38,168.69,4897439.0
2023-11-30,166.11,168.36,164.82,168.29,7346920.0
2023-11-29,169.1,169.12,166.65,167.16,4722423.0
2023-11-28,168.38,169.76,168.02,168.86,4056190.0
2023-11-27,169.7,169.7,168.09,168.32,3664714.0
2023-11-24,168.95,170.02,168.95,169.37,1751667.0
2023-11-22,168.35,169.57,168.2963,169.22,3235732.0
2023-11-21,167.11,167.86,165.9216,167.8,3979988.0
2023-11-20,166.0,166.77,165.72,166.52,4887350.0
2023-11-17,168.05,168.25,165.77,166.76,5583290.0
2023-11-16,168.39,170.0,166.4,167.71,5386432.0
2023-11-15,168.7,168.7889,166.27,167.25,5611162.0
2023-11-14,167.95,168.44,166.89,168.11,6238935.0
2023-11-13,167.0,168.78,166.46,167.77,5402335.0
2023-11-10,167.31,167.78,164.86,166.92,5553519.0
2023-11-09,167.58,167.86,165.81,166.16,5639290.0
2023-11-08,168.17,168.34,166.66,167.39,4926736.0
2023-11-07,166.8,167.71,166.12,167.18,4687447.0
2023-11-06,165.46,167.5,165.21,166.7,5784687.0
2023-11-03,168.68,168.81,166.69,166.79,4063294.0
2023-11-02,164.74,167.16,164.67,166.83,5413373.0
2023-11-01,163.67,165.43,162.76,164.87,6682510.0
2023-10-31,162.95,163.35,161.66,163.28,5947523.0
2023-10-30,161.298,162.58,160.74,162.28,4626063.0
2023-10-27,162.02,162.14,158.89,159.62,5078025.0
2023-10-26,162.68,163.36,161.3,161.41,5146996.0
2023-10-25,162.05,163.5,161.465,162.35,4534609.0
2023-10-24,160.41,162.855,159.68,162.19,5265171.0
2023-10-23,159.6,161.6,159.06,160.08,5795756.0
2023-10-20,161.37,162.23,159.71,160.0,5486488.0
2023-10-19,161.9,162.722,160.41,160.56,6336801.0
2023-10-18,161.02,163.4,160.87,162.03,6650607.0
2023-10-17,160.0,161.63,159.16,160.37,6411422.0
2023-10-16,161.0,161.95,159.8,161.08,5605021.0
2023-10-13,158.62,160.24,157.95,160.0,6758821.0
2023-10-12,162.6,162.65,157.43,158.08,9024055.0
2023-10-11,165.01,165.44,161.6,162.62,7371486.0
2023-10-10,164.25,165.18,162.03,164.4,11456363.0
2023-10-09,160.0,161.42,158.64,161.36,7244494.0
2023-10-06,158.78,160.92,155.83,160.29,12774672.0
